,x,y,waveform,color
10,10.449057,8.973964,"[ 0.05500747  0.06199254  0.07945522  0.07945522  0.0864403   0.09255224
  0.09255224  0.09342538  0.10041045  0.10041045  0.08993284  0.0864403
  0.0890597   0.0532612  -0.0026194  -0.0558806  -0.10041045 -0.15367165
 -0.22614181 -0.33441048 -0.41124628 -0.40513436 -0.33091792 -0.25932091
 -0.1982015  -0.12660448 -0.08294776 -0.05937314 -0.03754478 -0.01920896
  0.00785821  0.02182836  0.03667164  0.0532612   0.07159701  0.06810448
  0.07945522  0.10477612  0.12398508  0.1117612   0.11001493  0.09604478
  0.09604478  0.09167911  0.09167911  0.08294776  0.06810448  0.04889553
  0.04103732  0.0279403 ]",6
11,0.18081686,6.888723,"[ 0.01557566  0.02021522  0.02352919  0.02584897  0.02618036  0.02386058
  0.01822684  0.01756404  0.02518617  0.02319779  0.02518617  0.02783735
  0.02916294  0.02286639  0.0888144   0.22501858  0.24523379  0.03579088
 -0.26445481 -0.46992095 -0.48748498 -0.40562993 -0.29328635 -0.17199505
 -0.09013999 -0.04076183 -0.00298257  0.01922103  0.03678507  0.05468051
  0.06197124  0.06064565  0.06793639  0.08019808  0.0775469   0.07191315
  0.07058756  0.06561661  0.05037234  0.0440758   0.04275021  0.03380249
  0.02916294  0.02452338  0.02120941  0.0215408   0.01855823  0.00729073
  0.00331397  0.00497096]",3
12,-0.21949162,6.7981696,"[ 0.00986588  0.01701014  0.01837095  0.0125875   0.01530913  0.02041217
  0.01973176  0.01666994  0.01871115  0.02619562  0.01973176  0.02109257
  0.03027805  0.03027805  0.04932941  0.13506052  0.24222441  0.18847237
 -0.07960746 -0.36435721 -0.4963559  -0.46505724 -0.36367681 -0.24290481
 -0.14254498 -0.06872097 -0.02245339  0.00952568  0.02755643  0.04626759
  0.05749428  0.06633955  0.07076219  0.07858685  0.07858685  0.07926725
  0.07858685  0.0724632   0.05715407  0.05817468  0.05341184  0.04252535
  0.03333987  0.03095846  0.02585541  0.01973176  0.01632974  0.01088649
  0.00782466  0.00476284]",3
13,4.4188066,6.025435,"[ 0.03102016  0.03166641  0.03069703  0.03619019  0.04426835  0.04232959
  0.03974458  0.04394523  0.0533159   0.048469    0.04394523  0.03974458
  0.04136022  0.03909833  0.03360517  0.02164949  0.02003385  0.00258501
 -0.09661487 -0.32215729 -0.52281897 -0.50181572 -0.36481    -0.24557627
 -0.17158027 -0.08853671 -0.02778889  0.01034005  0.04168334  0.06139407
  0.07851978  0.08885984  0.10889369  0.12278813  0.11083245  0.10340053
  0.08885984  0.08627482  0.07399601  0.06268658  0.05783968  0.05105402
  0.04136022  0.03069703  0.02714264  0.02455763  0.01260194  0.01551008
  0.01324819  0.        ]",4
14,-0.1189254,6.819072,"[ 0.01868109  0.01480388  0.01903356  0.01409894  0.02150088  0.0225583
  0.0172712   0.00775442  0.01656625  0.02220583  0.0225583   0.0211484
  0.02749293  0.02573056  0.05181359  0.14134184  0.23968193  0.15614572
 -0.10503708 -0.3806713  -0.50051224 -0.46561738 -0.35987537 -0.23545224
 -0.13323495 -0.06556006 -0.01797614  0.01022173  0.03700971  0.04582154
  0.05992048  0.06450263  0.07648673  0.07754415  0.07507684  0.07965899
  0.07930652  0.07366695  0.0556908   0.04828886  0.04088692  0.03877208
  0.02573056  0.02643551  0.02573056  0.02714045  0.01515636  0.01163162
  0.01797614  0.01973851]",3
15,1.1354054,10.567539,"[ 0.0249926   0.02970819  0.02357793  0.01886234  0.02404948  0.02593572
  0.0193339   0.02074858  0.01839078  0.00895961  0.02074858  0.0193339
  0.01461831  0.00707338 -0.00660182  0.00235779 -0.00235779 -0.04196871
 -0.18013536 -0.43760631 -0.57530142 -0.4663714  -0.22163251 -0.06413196
  0.0330091   0.1136456   0.1603299   0.16693172  0.15985834  0.14382536
  0.1216621   0.09761262  0.09242547  0.08252274  0.06601819  0.06130261
  0.05187144  0.03395221  0.02122013  0.01084585  0.00330091  0.00848805
  0.0136752   0.0056587   0.         -0.0056587  -0.00848805 -0.00707338
 -0.00518714 -0.00754494]",0
16,0.6071242,10.320669,"[ 1.31177646e-02  1.98105024e-02  1.65979880e-02  1.76688261e-02
  1.65979880e-02  1.41886027e-02  1.12437983e-02  1.63302790e-02
  8.56670402e-03  8.83441306e-03  5.88960870e-03  8.03128471e-04
 -3.74793295e-03  1.60625694e-03  5.35419001e-04 -1.28500555e-02
 -4.28335201e-03  8.56670402e-03 -1.29303685e-01 -4.53499874e-01
 -6.43841311e-01 -4.58050925e-01 -1.16185914e-01  1.05745251e-01
  1.98640436e-01  1.93553957e-01  1.26894299e-01  6.15731834e-02
  2.65032392e-02  2.14167586e-02  3.64084924e-02  5.19356422e-02
  6.98721784e-02  6.55888258e-02  6.61242419e-02  6.10377633e-02
  4.84554158e-02  3.53376522e-02  3.31959760e-02  2.94480435e-02
  2.00782124e-02  1.63302790e-02  1.49917318e-02  1.20469274e-02
  5.08648011e-03  3.74793295e-03 -1.33854741e-03 -4.81877058e-03
 -8.56670402e-03 -9.36983212e-03]",0
17,10.618149,9.789927,"[ 0.0877793   0.10115519  0.1111871   0.12372701  0.12957896  0.13626691
  0.1371029   0.14044687  0.14379085  0.11536707  0.07022343 -0.00417997
 -0.06437148 -0.12205502 -0.17890257 -0.21986624 -0.25999392 -0.25915793
 -0.28005777 -0.31098952 -0.33021734 -0.28674569 -0.20899832 -0.16301869
 -0.13961088 -0.1111871  -0.06687946 -0.04347165 -0.02842377 -0.00919593
  0.00334397  0.02758778  0.04514364  0.06437148  0.07607539  0.07858337
  0.09781121  0.10533516  0.11035111  0.1120231   0.11285909  0.1120231
  0.09864721  0.09446724  0.08443532  0.07356741  0.05935552  0.05935552
  0.04765162  0.03929169]",6
18,0.21518554,10.1735,"[ 0.01895075  0.01318313  0.00659157  0.00659157 -0.00082395  0.00082395
  0.          0.00247184 -0.00659157 -0.01153524  0.00082395 -0.00082395
 -0.00411973 -0.0107113   0.00164789 -0.01318313 -0.00988735  0.02142259
 -0.02966205 -0.28755708 -0.60312833 -0.5693465  -0.24718373  0.04943675
  0.2035146   0.23564848  0.17550045  0.09969744  0.0486128   0.03460572
  0.02801416  0.03790151  0.04366913  0.06097199  0.06344382  0.05273253
  0.05026069  0.03872545  0.02389443  0.03378178  0.02471837  0.01895075
  0.01153524 -0.01318313 -0.01153524 -0.00576762  0.00164789  0.00659157
 -0.00411973 -0.01235919]",0
19,0.6079871,10.325495,"[ 0.00830905  0.0149563   0.0149563   0.01163267  0.0149563   0.01329449
  0.02825078  0.02492716  0.0149563   0.0149563   0.01163267  0.
  0.00332362  0.01329449  0.01329449 -0.01994173  0.00332362  0.00997086
 -0.17282831 -0.53842664 -0.64145893 -0.38554007 -0.02825078  0.13460666
  0.19110822  0.15787201  0.08973777  0.03489802  0.01994173  0.02492716
  0.04819251  0.05151613  0.06813424  0.05982518  0.06148699  0.04985432
  0.0465307   0.03822165  0.02825078  0.02492716  0.02160354  0.01329449
  0.00664724  0.00997086  0.00664724 -0.00166181 -0.00830905 -0.00664724
 -0.00830905 -0.00332362]",0
20,0.22972868,10.154235,"[ 1.38913700e-02  9.69774911e-03  4.97992499e-03  1.36292691e-02
  1.57260791e-02  1.38913700e-02  1.31050664e-02  1.28429645e-02
  1.25808637e-02  1.02219518e-02  1.17945600e-02  8.91144550e-03
 -7.86303978e-04  2.35891181e-03  4.97992499e-03 -1.04840527e-02
 -2.01818018e-02  1.44155727e-02 -9.95984999e-03 -2.86214648e-01
 -6.07026662e-01 -5.84223875e-01 -2.53451982e-01  2.07060055e-02
  1.64337523e-01  2.21737724e-01  1.80587815e-01  8.78039457e-02
  2.77827400e-02  1.62502818e-02  2.51617273e-02  4.14120111e-02
  5.60896837e-02  6.00212037e-02  6.44769275e-02  5.68759854e-02
  4.87508474e-02  4.03636037e-02  3.48594764e-02  2.69964364e-02
  2.09681054e-02  1.62502818e-02  1.25808637e-02  6.02833046e-03
  2.35891181e-03  0.00000000e+00 -3.66941865e-03 -2.62101336e-04
 -1.04840535e-03 -1.07461546e-02]",0
