"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",20.5,1
2,"pre",0,1
3,"pre",0,1
4,"pre",0.3,1
5,"pre",0,1
6,"pre",41.6,1
7,"pre",0.5,1
8,"pre",8.4,1
9,"pre",2.8,1
10,"pre",0,1
11,"pre",0.1,1
12,"pre",0.2,1
13,"pre",9.1,1
14,"pre",8.1,1
15,"pre",0.4,1
16,"pre",7.8,1
17,"pre",8.1,1
1,"stim",29.8,1
2,"stim",0,1
3,"stim",0.1,1
4,"stim",0.7,1
5,"stim",0.4,1
6,"stim",42.2,1
7,"stim",1.2,1
8,"stim",0,1
9,"stim",3.6,1
10,"stim",0,1
11,"stim",0.3,1
12,"stim",0,1
13,"stim",0.2,1
14,"stim",0,1
15,"stim",1.1,1
16,"stim",0.1,1
17,"stim",5.8,1
1,"post",18.3,1
2,"post",0.1,1
3,"post",0,1
4,"post",0.7,1
5,"post",0.1,1
6,"post",42.3,1
7,"post",3.3,1
8,"post",8.3,1
9,"post",3.3,1
10,"post",0,1
11,"post",0.3,1
12,"post",0.8,1
13,"post",8.4,1
14,"post",8.1,1
15,"post",2.4,1
16,"post",8.3,1
17,"post",5.4,1
1,"pre",22.4,10
2,"pre",0.2,10
3,"pre",0,10
4,"pre",0.1,10
5,"pre",0.3,10
6,"pre",44.1,10
7,"pre",32.7,10
8,"pre",8.3,10
9,"pre",12.8,10
10,"pre",0.3,10
11,"pre",4.2,10
12,"pre",8.3,10
13,"pre",8.3,10
14,"pre",8.3,10
15,"pre",10.5,10
16,"pre",8.4,10
17,"pre",6.2,10
1,"stim",3.6,10
2,"stim",0,10
3,"stim",0,10
4,"stim",0.1,10
5,"stim",0.1,10
6,"stim",42.5,10
7,"stim",31.9,10
8,"stim",0,10
9,"stim",13.4,10
10,"stim",0.4,10
11,"stim",2.6,10
12,"stim",0,10
13,"stim",0,10
14,"stim",0.3,10
15,"stim",9.2,10
16,"stim",0.6,10
17,"stim",6,10
1,"post",13.2,10
2,"post",0.3,10
3,"post",0,10
4,"post",0.1,10
5,"post",0.6,10
6,"post",42.4,10
7,"post",32.5,10
8,"post",6.3,10
9,"post",15.1,10
10,"post",0.4,10
11,"post",2.7,10
12,"post",6.3,10
13,"post",6.3,10
14,"post",6.4,10
15,"post",10.2,10
16,"post",6.3,10
17,"post",8.1,10
1,"pre",16.6,2
2,"pre",0.1,2
3,"pre",0.1,2
4,"pre",0.6,2
5,"pre",0.1,2
6,"pre",42,2
7,"pre",8.8,2
8,"pre",8.5,2
9,"pre",3.2,2
10,"pre",0,2
11,"pre",0.3,2
12,"pre",1.4,2
13,"pre",8.4,2
14,"pre",8.1,2
15,"pre",4.5,2
16,"pre",8.5,2
17,"pre",7,2
1,"stim",12.2,2
2,"stim",0.1,2
3,"stim",0,2
4,"stim",1,2
5,"stim",0.1,2
6,"stim",42.7,2
7,"stim",17,2
8,"stim",0,2
9,"stim",2.7,2
10,"stim",0,2
11,"stim",0.6,2
12,"stim",0,2
13,"stim",0.2,2
14,"stim",0.2,2
15,"stim",7.2,2
16,"stim",0,2
17,"stim",6,2
1,"post",3.9,2
2,"post",0,2
3,"post",0,2
4,"post",0.3,2
5,"post",0.3,2
6,"post",43.1,2
7,"post",38.6,2
8,"post",4.3,2
9,"post",3.9,2
10,"post",0,2
11,"post",1.9,2
12,"post",2.4,2
13,"post",4.3,2
14,"post",4.4,2
15,"post",9.6,2
16,"post",4.9,2
17,"post",7.2,2
1,"pre",4.1,3
2,"pre",0.1,3
3,"pre",0.4,3
4,"pre",0.2,3
5,"pre",0.5,3
6,"pre",44,3
7,"pre",44.5,3
8,"pre",5.4,3
9,"pre",3.1,3
10,"pre",0.1,3
11,"pre",2.6,3
12,"pre",3.7,3
13,"pre",5.4,3
14,"pre",5.6,3
15,"pre",11.6,3
16,"pre",6.3,3
17,"pre",7.1,3
1,"stim",6.3,3
2,"stim",0.1,3
3,"stim",0,3
4,"stim",0.3,3
5,"stim",0.1,3
6,"stim",43.7,3
7,"stim",44,3
8,"stim",0.1,3
9,"stim",4.1,3
10,"stim",0,3
11,"stim",3.9,3
12,"stim",0,3
13,"stim",0,3
14,"stim",0.3,3
15,"stim",10.4,3
16,"stim",0.2,3
17,"stim",7.3,3
1,"post",2.6,3
2,"post",0.1,3
3,"post",0,3
4,"post",0.3,3
5,"post",0.3,3
6,"post",43.9,3
7,"post",45.2,3
8,"post",4.6,3
9,"post",4.6,3
10,"post",0,3
11,"post",5,3
12,"post",4.4,3
13,"post",4.6,3
14,"post",5.3,3
15,"post",10.4,3
16,"post",5.6,3
17,"post",7.7,3
1,"pre",1.6,4
2,"pre",0,4
3,"pre",0,4
4,"pre",0.4,4
5,"pre",0.2,4
6,"pre",43.8,4
7,"pre",43.7,4
8,"pre",5.4,4
9,"pre",5.3,4
10,"pre",0,4
11,"pre",8.1,4
12,"pre",5.2,4
13,"pre",5.5,4
14,"pre",5.7,4
15,"pre",11.1,4
16,"pre",6.9,4
17,"pre",6.3,4
1,"stim",2,4
2,"stim",0.3,4
3,"stim",0,4
4,"stim",0.4,4
5,"stim",0.1,4
6,"stim",44.5,4
7,"stim",43.2,4
8,"stim",0,4
9,"stim",5.3,4
10,"stim",0,4
11,"stim",8.6,4
12,"stim",0,4
13,"stim",0.1,4
14,"stim",0.3,4
15,"stim",10.5,4
16,"stim",0.9,4
17,"stim",6.9,4
1,"post",2,4
2,"post",0.1,4
3,"post",0,4
4,"post",0.2,4
5,"post",0.2,4
6,"post",44.2,4
7,"post",42.5,4
8,"post",5.3,4
9,"post",6.5,4
10,"post",0.1,4
11,"post",9.4,4
12,"post",5.2,4
13,"post",5.3,4
14,"post",5.5,4
15,"post",10.9,4
16,"post",7.6,4
17,"post",6.7,4
1,"pre",1.7,5
2,"pre",0.1,5
3,"pre",0,5
4,"pre",0,5
5,"pre",0,5
6,"pre",44.2,5
7,"pre",42.5,5
8,"pre",7.7,5
9,"pre",6.6,5
10,"pre",0,5
11,"pre",7.3,5
12,"pre",7.7,5
13,"pre",7.6,5
14,"pre",7.8,5
15,"pre",11.2,5
16,"pre",9,5
17,"pre",6.4,5
1,"stim",2,5
2,"stim",0.2,5
3,"stim",0,5
4,"stim",0.2,5
5,"stim",0.2,5
6,"stim",44.3,5
7,"stim",42.5,5
8,"stim",0,5
9,"stim",6.2,5
10,"stim",0,5
11,"stim",7.7,5
12,"stim",0,5
13,"stim",0,5
14,"stim",0.2,5
15,"stim",10.2,5
16,"stim",1.2,5
17,"stim",6.1,5
1,"post",1.6,5
2,"post",0.2,5
3,"post",0,5
4,"post",0.1,5
5,"post",0.2,5
6,"post",44.5,5
7,"post",41.3,5
8,"post",5,5
9,"post",5.6,5
10,"post",0,5
11,"post",8.3,5
12,"post",5,5
13,"post",5,5
14,"post",5.1,5
15,"post",10.8,5
16,"post",6.5,5
17,"post",6,5
1,"pre",1.6,6
2,"pre",0,6
3,"pre",0.1,6
4,"pre",0.3,6
5,"pre",0,6
6,"pre",43.9,6
7,"pre",41.5,6
8,"pre",8,6
9,"pre",7.4,6
10,"pre",0.2,6
11,"pre",8,6
12,"pre",8.1,6
13,"pre",7.9,6
14,"pre",8.3,6
15,"pre",10.9,6
16,"pre",9.3,6
17,"pre",7.2,6
1,"stim",1.8,6
2,"stim",0.1,6
3,"stim",0,6
4,"stim",0,6
5,"stim",0.1,6
6,"stim",44,6
7,"stim",41.1,6
8,"stim",0,6
9,"stim",6.9,6
10,"stim",0.1,6
11,"stim",7.4,6
12,"stim",0,6
13,"stim",0.1,6
14,"stim",0.2,6
15,"stim",10,6
16,"stim",0.9,6
17,"stim",7.4,6
1,"post",3.4,6
2,"post",0,6
3,"post",0.7,6
4,"post",0,6
5,"post",0.2,6
6,"post",43.9,6
7,"post",40.3,6
8,"post",5.5,6
9,"post",7.3,6
10,"post",0.3,6
11,"post",7.9,6
12,"post",5.5,6
13,"post",5.5,6
14,"post",5.5,6
15,"post",10.9,6
16,"post",6,6
17,"post",7.5,6
1,"pre",3.7,7
2,"pre",0,7
3,"pre",0,7
4,"pre",0.1,7
5,"pre",0.1,7
6,"pre",44.1,7
7,"pre",39.9,7
8,"pre",6.5,7
9,"pre",7.5,7
10,"pre",0.1,7
11,"pre",7.6,7
12,"pre",6.5,7
13,"pre",6.5,7
14,"pre",6.9,7
15,"pre",11.1,7
16,"pre",7,7
17,"pre",6.7,7
1,"stim",3,7
2,"stim",0.1,7
3,"stim",0,7
4,"stim",0.2,7
5,"stim",0,7
6,"stim",44.2,7
7,"stim",38.6,7
8,"stim",0,7
9,"stim",7.7,7
10,"stim",0.2,7
11,"stim",7.1,7
12,"stim",0,7
13,"stim",0,7
14,"stim",0.3,7
15,"stim",9.9,7
16,"stim",1.2,7
17,"stim",6,7
1,"post",3,7
2,"post",0.1,7
3,"post",0,7
4,"post",0.2,7
5,"post",0.2,7
6,"post",43.6,7
7,"post",38,7
8,"post",4.6,7
9,"post",7.4,7
10,"post",0.6,7
11,"post",6.6,7
12,"post",4.6,7
13,"post",4.6,7
14,"post",4.6,7
15,"post",10.7,7
16,"post",5.2,7
17,"post",6.4,7
1,"pre",5.4,8
2,"pre",0,8
3,"pre",0.1,8
4,"pre",0,8
5,"pre",0.1,8
6,"pre",43.7,8
7,"pre",38,8
8,"pre",7.5,8
9,"pre",9.1,8
10,"pre",0.2,8
11,"pre",5.8,8
12,"pre",7.5,8
13,"pre",7.5,8
14,"pre",7.6,8
15,"pre",10.8,8
16,"pre",7.9,8
17,"pre",7,8
1,"stim",2.1,8
2,"stim",0,8
3,"stim",0.4,8
4,"stim",0,8
5,"stim",0.1,8
6,"stim",43,8
7,"stim",37.4,8
8,"stim",0,8
9,"stim",9.5,8
10,"stim",0.5,8
11,"stim",6.1,8
12,"stim",0,8
13,"stim",0.1,8
14,"stim",0,8
15,"stim",9,8
16,"stim",1,8
17,"stim",7.5,8
1,"post",3.2,8
2,"post",0.1,8
3,"post",0.3,8
4,"post",0.4,8
5,"post",0.2,8
6,"post",43,8
7,"post",36.2,8
8,"post",5.7,8
9,"post",12.5,8
10,"post",0.1,8
11,"post",5.5,8
12,"post",5.8,8
13,"post",5.7,8
14,"post",5.8,8
15,"post",10.7,8
16,"post",6.2,8
17,"post",5.7,8
1,"pre",3.7,9
2,"pre",0,9
3,"pre",0,9
4,"pre",0,9
5,"pre",0.5,9
6,"pre",43.3,9
7,"pre",35,9
8,"pre",7.9,9
9,"pre",10.7,9
10,"pre",0.2,9
11,"pre",5.4,9
