"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0.5,1
2,"pre",0.1,1
3,"pre",0.7,1
4,"pre",0,1
5,"pre",0.7,1
6,"pre",10.4,1
7,"pre",1.9,1
8,"pre",1.5,1
9,"pre",0,1
10,"pre",8.7,1
11,"pre",2.2,1
12,"pre",3.8,1
13,"pre",0,1
14,"pre",0.2,1
15,"pre",7.9,1
16,"pre",2.3,1
17,"pre",0.7,1
1,"stim",0.9,1
2,"stim",0,1
3,"stim",0.9,1
4,"stim",0.1,1
5,"stim",0,1
6,"stim",4.5,1
7,"stim",0,1
8,"stim",0.1,1
9,"stim",0,1
10,"stim",8.8,1
11,"stim",0.2,1
12,"stim",3.3,1
13,"stim",0,1
14,"stim",0.2,1
15,"stim",10.2,1
16,"stim",2.9,1
17,"stim",0.2,1
1,"post",0.5,1
2,"post",0,1
3,"post",1.2,1
4,"post",0.1,1
5,"post",0.7,1
6,"post",5.9,1
7,"post",2.1,1
8,"post",2.4,1
9,"post",0,1
10,"post",8.4,1
11,"post",2.1,1
12,"post",3.8,1
13,"post",0,1
14,"post",0.3,1
15,"post",13.9,1
16,"post",2.7,1
17,"post",0.2,1
1,"pre",0.5,2
2,"pre",1.3,2
3,"pre",1.3,2
4,"pre",0.1,2
5,"pre",0.7,2
6,"pre",5.5,2
7,"pre",2.4,2
8,"pre",2.7,2
9,"pre",0.2,2
10,"pre",8.8,2
11,"pre",2.7,2
12,"pre",3.6,2
13,"pre",0.9,2
14,"pre",0.3,2
15,"pre",9.9,2
16,"pre",2.7,2
17,"pre",1.5,2
1,"stim",0.8,2
2,"stim",0,2
3,"stim",0.9,2
4,"stim",0,2
5,"stim",0,2
6,"stim",2.9,2
7,"stim",0,2
8,"stim",0.6,2
9,"stim",0,2
10,"stim",8.6,2
11,"stim",0.2,2
12,"stim",3.4,2
13,"stim",0,2
14,"stim",0.4,2
15,"stim",10.2,2
16,"stim",2.8,2
17,"stim",0,2
1,"post",0.6,2
2,"post",0,2
3,"post",1.1,2
4,"post",0,2
5,"post",0.4,2
6,"post",4.2,2
7,"post",1.8,2
8,"post",3.1,2
9,"post",0,2
10,"post",8.6,2
11,"post",2,2
12,"post",4,2
13,"post",0,2
14,"post",0.5,2
15,"post",11.3,2
16,"post",2.7,2
17,"post",0.9,2
1,"pre",0.9,3
2,"pre",0.4,3
3,"pre",1,3
4,"pre",0.6,3
5,"pre",1.8,3
6,"pre",6.7,3
7,"pre",5.1,3
8,"pre",3.2,3
9,"pre",0.8,3
10,"pre",8.7,3
11,"pre",5.2,3
12,"pre",4,3
13,"pre",0.5,3
14,"pre",0,3
15,"pre",10.8,3
16,"pre",2.8,3
17,"pre",1.8,3
1,"stim",0.9,3
2,"stim",0.1,3
3,"stim",0.9,3
4,"stim",0,3
5,"stim",0,3
6,"stim",10,3
7,"stim",0,3
8,"stim",1.3,3
9,"stim",0,3
10,"stim",8.7,3
11,"stim",0,3
12,"stim",3.2,3
13,"stim",0,3
14,"stim",0.4,3
15,"stim",11.7,3
16,"stim",2.8,3
17,"stim",0.1,3
1,"post",1,3
2,"post",0.3,3
3,"post",0.8,3
4,"post",0,3
5,"post",0.2,3
6,"post",8.4,3
7,"post",1.4,3
8,"post",2.4,3
9,"post",0,3
10,"post",8.4,3
11,"post",1.5,3
12,"post",3.6,3
13,"post",0.1,3
14,"post",0.3,3
15,"post",15.3,3
16,"post",2.8,3
17,"post",0.8,3
1,"pre",0.8,4
2,"pre",0.2,4
3,"pre",1.4,4
4,"pre",1,4
5,"pre",1.5,4
6,"pre",6.5,4
7,"pre",5.7,4
8,"pre",1.4,4
9,"pre",1.1,4
10,"pre",8.6,4
11,"pre",5.8,4
12,"pre",3.9,4
13,"pre",0.5,4
14,"pre",0.3,4
15,"pre",15.2,4
16,"pre",3.1,4
17,"pre",2.4,4
1,"stim",0.4,4
2,"stim",0,4
3,"stim",1.3,4
4,"stim",0,4
5,"stim",0,4
6,"stim",9.2,4
7,"stim",0,4
8,"stim",1.3,4
9,"stim",0,4
10,"stim",8.5,4
11,"stim",0.2,4
12,"stim",3.4,4
13,"stim",0,4
14,"stim",0.1,4
15,"stim",13.2,4
16,"stim",3.1,4
17,"stim",0,4
1,"post",0.7,4
2,"post",0.7,4
3,"post",1.2,4
4,"post",0.1,4
5,"post",1.9,4
6,"post",1.3,4
7,"post",3.9,4
8,"post",3.8,4
9,"post",0.3,4
10,"post",8.4,4
11,"post",3.9,4
12,"post",3.8,4
13,"post",0.8,4
14,"post",0.1,4
15,"post",12.7,4
16,"post",3.1,4
17,"post",0.6,4
1,"pre",0.8,5
2,"pre",0,5
3,"pre",1.1,5
4,"pre",0.3,5
5,"pre",1.3,5
6,"pre",5,5
7,"pre",3.8,5
8,"pre",3.3,5
9,"pre",0.4,5
