"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",3.3,1
2,"pre",0,1
3,"pre",3.8,1
4,"pre",0.9,1
5,"pre",0.1,1
6,"pre",0.5,1
7,"pre",0.2,1
8,"pre",0.5,1
9,"pre",0.5,1
10,"pre",4.4,1
1,"stim",0,1
2,"stim",0,1
3,"stim",0.2,1
4,"stim",0,1
5,"stim",0,1
6,"stim",0,1
7,"stim",0,1
8,"stim",0,1
9,"stim",0,1
10,"stim",0,1
1,"post",0,1
2,"post",0,1
3,"post",0.1,1
4,"post",1.5,1
5,"post",0,1
6,"post",0,1
7,"post",0,1
8,"post",0,1
9,"post",0.1,1
10,"post",3.7,1
1,"pre",5.3,2
2,"pre",0.3,2
3,"pre",1.1,2
4,"pre",0.6,2
5,"pre",0.5,2
6,"pre",4.7,2
7,"pre",0.5,2
1,"stim",0,2
2,"stim",0,2
3,"stim",0,2
4,"stim",0,2
5,"stim",0,2
6,"stim",0,2
7,"stim",0,2
1,"post",0.2,2
2,"post",0,2
3,"post",1.8,2
4,"post",0,2
5,"post",0,2
6,"post",4,2
7,"post",0,2
