"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0,1
2,"pre",9.9,1
3,"pre",0,1
4,"pre",3.7,1
5,"pre",0,1
6,"pre",10.3,1
7,"pre",1.2,1
8,"pre",14.7,1
9,"pre",3.8,1
10,"pre",10.6,1
11,"pre",8.8,1
12,"pre",8.7,1
13,"pre",0,1
14,"pre",8.8,1
15,"pre",2,1
16,"pre",5.4,1
17,"pre",0.1,1
18,"pre",0,1
19,"pre",0.3,1
20,"pre",5.1,1
21,"pre",0.5,1
22,"pre",0,1
23,"pre",14.7,1
24,"pre",1.8,1
25,"pre",0,1
26,"pre",4.2,1
27,"pre",0.8,1
28,"pre",0,1
29,"pre",0.2,1
30,"pre",0,1
31,"pre",0,1
32,"pre",0,1
33,"pre",0.7,1
34,"pre",8.8,1
35,"pre",5.9,1
36,"pre",0.2,1
37,"pre",0.1,1
38,"pre",13.6,1
39,"pre",0.6,1
40,"pre",0,1
41,"pre",5,1
42,"pre",0,1
43,"pre",0.1,1
44,"pre",11,1
45,"pre",6.5,1
46,"pre",0.3,1
47,"pre",8,1
48,"pre",10.2,1
49,"pre",8.8,1
50,"pre",0,1
51,"pre",0.2,1
52,"pre",4.2,1
53,"pre",4,1
54,"pre",3.4,1
55,"pre",6.2,1
56,"pre",5.1,1
57,"pre",8.2,1
58,"pre",5.1,1
59,"pre",3.9,1
60,"pre",0.4,1
61,"pre",0.9,1
62,"pre",0.2,1
63,"pre",0.5,1
64,"pre",0.9,1
65,"pre",3.5,1
1,"stim",0,1
2,"stim",0,1
3,"stim",0,1
4,"stim",0,1
5,"stim",0,1
6,"stim",0,1
7,"stim",0,1
8,"stim",11.8,1
9,"stim",0,1
10,"stim",0,1
11,"stim",0.1,1
12,"stim",0.3,1
13,"stim",0,1
14,"stim",3.1,1
15,"stim",0,1
16,"stim",0,1
17,"stim",0,1
18,"stim",0,1
19,"stim",0,1
20,"stim",0,1
21,"stim",0,1
22,"stim",0,1
23,"stim",10,1
24,"stim",0,1
25,"stim",0,1
26,"stim",0,1
27,"stim",0,1
28,"stim",0,1
29,"stim",0.1,1
30,"stim",0,1
31,"stim",0,1
32,"stim",0,1
33,"stim",0,1
34,"stim",0.1,1
35,"stim",0,1
36,"stim",0,1
37,"stim",0,1
38,"stim",2.9,1
39,"stim",0,1
40,"stim",0,1
41,"stim",0,1
42,"stim",0,1
43,"stim",0,1
44,"stim",0.2,1
45,"stim",0,1
46,"stim",0,1
47,"stim",0,1
48,"stim",0,1
49,"stim",0.1,1
50,"stim",0,1
51,"stim",0,1
52,"stim",0,1
53,"stim",2,1
54,"stim",0,1
55,"stim",1.7,1
56,"stim",0,1
57,"stim",0,1
58,"stim",0,1
59,"stim",0,1
60,"stim",0,1
61,"stim",0,1
62,"stim",0,1
63,"stim",0,1
64,"stim",0,1
65,"stim",0,1
1,"post",0.1,1
2,"post",11,1
3,"post",0.1,1
4,"post",4.4,1
5,"post",0.2,1
6,"post",11.8,1
7,"post",1.3,1
8,"post",13.5,1
9,"post",5.3,1
10,"post",8.1,1
11,"post",12.2,1
12,"post",6.9,1
13,"post",0,1
14,"post",3.5,1
15,"post",2.6,1
16,"post",5.6,1
17,"post",0,1
18,"post",0.2,1
19,"post",1.1,1
20,"post",4.8,1
21,"post",0.2,1
22,"post",0,1
23,"post",12.9,1
24,"post",1.4,1
25,"post",0,1
26,"post",1.6,1
27,"post",0.1,1
28,"post",0,1
29,"post",2.2,1
30,"post",0,1
31,"post",0,1
32,"post",0,1
33,"post",0.8,1
34,"post",12.2,1
35,"post",5.8,1
36,"post",2.2,1
37,"post",0.1,1
38,"post",14.7,1
39,"post",0.4,1
40,"post",0,1
41,"post",4.7,1
42,"post",0,1
43,"post",0,1
44,"post",10.6,1
45,"post",2.1,1
46,"post",0,1
47,"post",7.6,1
48,"post",4.6,1
49,"post",12.2,1
50,"post",0,1
51,"post",0,1
52,"post",4.9,1
53,"post",3.2,1
54,"post",0.5,1
55,"post",4.3,1
56,"post",5.5,1
57,"post",7.8,1
58,"post",4.5,1
59,"post",0.8,1
60,"post",2,1
61,"post",0.4,1
62,"post",2.2,1
63,"post",2.3,1
64,"post",0.2,1
65,"post",4.4,1
1,"pre",2.4,2
2,"pre",13.3,2
3,"pre",0.7,2
4,"pre",6.4,2
5,"pre",0.9,2
6,"pre",13.2,2
7,"pre",1.4,2
8,"pre",20.3,2
9,"pre",10.9,2
10,"pre",22.1,2
11,"pre",43.5,2
12,"pre",23.7,2
13,"pre",2.9,2
14,"pre",13.2,2
15,"pre",2.7,2
16,"pre",8.6,2
17,"pre",0.1,2
18,"pre",0.8,2
19,"pre",0.9,2
20,"pre",6.1,2
21,"pre",6.6,2
22,"pre",0,2
23,"pre",19.3,2
24,"pre",4.7,2
25,"pre",6.3,2
26,"pre",4.8,2
27,"pre",6.1,2
28,"pre",6.5,2
29,"pre",10.1,2
30,"pre",2.9,2
31,"pre",6.3,2
32,"pre",0.2,2
33,"pre",0.8,2
34,"pre",43.6,2
35,"pre",21.2,2
36,"pre",14.3,2
37,"pre",0.2,2
38,"pre",15,2
39,"pre",6.2,2
40,"pre",0.9,2
41,"pre",6,2
42,"pre",9.7,2
43,"pre",0.9,2
44,"pre",12.5,2
45,"pre",8,2
46,"pre",0.2,2
47,"pre",17.7,2
48,"pre",13.7,2
49,"pre",48,2
50,"pre",26,2
51,"pre",0.5,2
52,"pre",6.7,2
53,"pre",6.6,2
54,"pre",2.1,2
55,"pre",3.9,2
56,"pre",6.9,2
57,"pre",17.2,2
58,"pre",3.7,2
59,"pre",5.7,2
60,"pre",7.9,2
61,"pre",3.2,2
62,"pre",11.2,2
63,"pre",11.3,2
64,"pre",1.4,2
65,"pre",5.4,2
1,"stim",0,2
2,"stim",0,2
3,"stim",0,2
4,"stim",0,2
5,"stim",0,2
6,"stim",0,2
7,"stim",0,2
8,"stim",13.7,2
9,"stim",0,2
10,"stim",0,2
11,"stim",0,2
12,"stim",0,2
13,"stim",0,2
14,"stim",0.6,2
15,"stim",0,2
16,"stim",0,2
17,"stim",0,2
18,"stim",0,2
19,"stim",0,2
20,"stim",0,2
21,"stim",0,2
22,"stim",0,2
23,"stim",11.3,2
24,"stim",0,2
25,"stim",0,2
26,"stim",0,2
27,"stim",0.1,2
28,"stim",0,2
29,"stim",0.1,2
30,"stim",0,2
31,"stim",0,2
32,"stim",0,2
33,"stim",0,2
34,"stim",0,2
35,"stim",0,2
36,"stim",0.1,2
37,"stim",0,2
38,"stim",5,2
39,"stim",0,2
40,"stim",0,2
41,"stim",0,2
42,"stim",0,2
43,"stim",0,2
44,"stim",0.2,2
45,"stim",0,2
46,"stim",0,2
47,"stim",0.3,2
48,"stim",0,2
49,"stim",3.8,2
50,"stim",0,2
51,"stim",0,2
52,"stim",0,2
53,"stim",0.6,2
54,"stim",0,2
55,"stim",1.9,2
56,"stim",0,2
57,"stim",0.2,2
58,"stim",0,2
59,"stim",0,2
60,"stim",0.1,2
61,"stim",0,2
62,"stim",0.1,2
63,"stim",0.1,2
64,"stim",0,2
65,"stim",0,2
1,"post",0,2
2,"post",9.9,2
3,"post",0.2,2
4,"post",5.5,2
5,"post",0,2
6,"post",10.9,2
7,"post",1.2,2
8,"post",15.1,2
9,"post",4.8,2
10,"post",9.6,2
11,"post",22.3,2
12,"post",4.2,2
13,"post",0,2
14,"post",6.5,2
15,"post",2.4,2
16,"post",4.9,2
17,"post",0,2
18,"post",0.5,2
19,"post",0.7,2
20,"post",8.5,2
21,"post",0.1,2
22,"post",0.1,2
23,"post",14.7,2
24,"post",1,2
25,"post",0,2
26,"post",3.1,2
27,"post",0.2,2
28,"post",0,2
29,"post",0.8,2
30,"post",0,2
31,"post",0,2
32,"post",0.1,2
33,"post",0.5,2
34,"post",22.3,2
35,"post",4.8,2
36,"post",0.9,2
37,"post",0,2
38,"post",15.8,2
39,"post",1,2
40,"post",0,2
41,"post",8.4,2
42,"post",0,2
43,"post",0,2
44,"post",11.5,2
45,"post",4.6,2
46,"post",0,2
47,"post",8.8,2
48,"post",4,2
49,"post",22.3,2
50,"post",0,2
51,"post",0.1,2
52,"post",6.1,2
53,"post",5.9,2
54,"post",0.1,2
55,"post",3.8,2
56,"post",5,2
57,"post",8.4,2
58,"post",7.1,2
59,"post",0.4,2
60,"post",0.8,2
61,"post",0.2,2
62,"post",0.9,2
63,"post",0.9,2
64,"post",0.1,2
65,"post",4.9,2
1,"pre",0.1,3
2,"pre",8.5,3
3,"pre",0.3,3
4,"pre",5.9,3
5,"pre",0.2,3
6,"pre",10.6,3
7,"pre",1.9,3
8,"pre",17.2,3
9,"pre",7.9,3
10,"pre",13.4,3
11,"pre",28.3,3
12,"pre",7.9,3
13,"pre",0,3
14,"pre",9.4,3
15,"pre",3.3,3
16,"pre",5.9,3
17,"pre",0,3
18,"pre",0.8,3
19,"pre",0.4,3
20,"pre",8.3,3
21,"pre",0,3
22,"pre",0,3
23,"pre",16.6,3
24,"pre",1.6,3
25,"pre",0,3
26,"pre",4.6,3
27,"pre",0.2,3
28,"pre",0,3
29,"pre",1.6,3
30,"pre",0,3
31,"pre",0,3
32,"pre",0,3
33,"pre",0.3,3
34,"pre",27.9,3
35,"pre",8.6,3
36,"pre",1.5,3
37,"pre",0,3
38,"pre",17.6,3
39,"pre",1.4,3
40,"pre",0.1,3
41,"pre",7.9,3
42,"pre",0,3
43,"pre",0,3
44,"pre",13.5,3
45,"pre",6.6,3
46,"pre",0.1,3
47,"pre",13.5,3
48,"pre",6.6,3
49,"pre",29,3
50,"pre",0,3
51,"pre",0,3
52,"pre",6.8,3
53,"pre",8.2,3
54,"pre",0.7,3
55,"pre",5.3,3
56,"pre",5.8,3
57,"pre",13.7,3
58,"pre",6.6,3
59,"pre",1,3
60,"pre",1.6,3
61,"pre",0.7,3
62,"pre",1.6,3
63,"pre",1.5,3
64,"pre",0.1,3
65,"pre",5.2,3
1,"stim",0,3
2,"stim",0,3
3,"stim",0.1,3
4,"stim",1.3,3
5,"stim",0,3
6,"stim",0,3
7,"stim",0.2,3
8,"stim",15.4,3
9,"stim",0.1,3
10,"stim",0.1,3
11,"stim",0,3
12,"stim",0.1,3
13,"stim",0,3
14,"stim",1.4,3
15,"stim",0,3
16,"stim",0,3
17,"stim",0,3
18,"stim",0,3
19,"stim",0,3
20,"stim",0,3
21,"stim",0,3
22,"stim",0,3
23,"stim",13.7,3
24,"stim",0,3
25,"stim",0,3
26,"stim",0,3
27,"stim",0.2,3
28,"stim",0,3
29,"stim",0.4,3
30,"stim",0,3
31,"stim",0,3
32,"stim",0,3
33,"stim",0,3
34,"stim",0,3
35,"stim",0,3
36,"stim",0.3,3
37,"stim",0,3
38,"stim",7.4,3
39,"stim",0.3,3
40,"stim",0,3
41,"stim",0,3
42,"stim",0,3
43,"stim",0,3
44,"stim",0,3
45,"stim",0.2,3
46,"stim",0,3
47,"stim",2,3
48,"stim",0,3
49,"stim",0.1,3
50,"stim",9.7,3
51,"stim",0,3
52,"stim",1.4,3
53,"stim",1.3,3
54,"stim",0,3
55,"stim",1.5,3
56,"stim",0,3
57,"stim",1.8,3
58,"stim",0,3
59,"stim",0.6,3
60,"stim",0.2,3
61,"stim",0,3
62,"stim",0.4,3
63,"stim",0.3,3
64,"stim",0,3
65,"stim",0.6,3
1,"post",0,3
2,"post",7.5,3
3,"post",0.3,3
4,"post",7.2,3
5,"post",0,3
6,"post",9.2,3
7,"post",1.4,3
8,"post",19.9,3
9,"post",8.2,3
10,"post",15.8,3
11,"post",5.2,3
12,"post",9.2,3
13,"post",0,3
14,"post",9.7,3
15,"post",3.5,3
16,"post",6.7,3
17,"post",0,3
18,"post",0.4,3
19,"post",0.6,3
20,"post",9.6,3
21,"post",0.1,3
22,"post",0,3
23,"post",19.1,3
24,"post",2.8,3
25,"post",0,3
26,"post",6.3,3
27,"post",0.4,3
28,"post",0.1,3
29,"post",2.8,3
30,"post",0,3
31,"post",0,3
32,"post",0,3
33,"post",0.4,3
34,"post",1.6,3
35,"post",10.7,3
36,"post",2.5,3
37,"post",0.2,3
38,"post",17.3,3
39,"post",1.6,3
40,"post",0.3,3
41,"post",9.1,3
42,"post",0,3
43,"post",0.1,3
44,"post",16.1,3
45,"post",7.7,3
46,"post",0,3
47,"post",15,3
48,"post",9.6,3
49,"post",32,3
50,"post",1.3,3
51,"post",0.1,3
52,"post",7.7,3
53,"post",10.4,3
54,"post",2.2,3
55,"post",6.2,3
56,"post",6.4,3
57,"post",15.2,3
58,"post",7.4,3
59,"post",2.4,3
60,"post",2.7,3
61,"post",0.7,3
62,"post",2.5,3
63,"post",2.7,3
64,"post",0.7,3
65,"post",6,3
1,"pre",2.3,4
2,"pre",6.4,4
3,"pre",0,4
4,"pre",8.3,4
5,"pre",0.2,4
6,"pre",7.5,4
7,"pre",3.4,4
8,"pre",20.9,4
9,"pre",9.1,4
10,"pre",16,4
11,"pre",0,4
12,"pre",13.9,4
13,"pre",2.6,4
14,"pre",10.6,4
15,"pre",3.5,4
16,"pre",7.8,4
17,"pre",0,4
18,"pre",0.2,4
19,"pre",0.5,4
20,"pre",10.6,4
21,"pre",0.1,4
22,"pre",0.2,4
23,"pre",20.6,4
24,"pre",2.6,4
25,"pre",0,4
26,"pre",7.8,4
27,"pre",1.1,4
28,"pre",0,4
29,"pre",0.5,4
30,"pre",0,4
31,"pre",0,4
32,"pre",0.4,4
33,"pre",0.4,4
34,"pre",0,4
35,"pre",9.6,4
36,"pre",0.4,4
37,"pre",0.3,4
38,"pre",18.7,4
39,"pre",1.9,4
40,"pre",0,4
41,"pre",10.3,4
42,"pre",1,4
43,"pre",0.4,4
44,"pre",16.6,4
45,"pre",6.1,4
46,"pre",0.3,4
47,"pre",19.3,4
48,"pre",11.3,4
49,"pre",27.3,4
50,"pre",9.9,4
51,"pre",0,4
52,"pre",8.6,4
53,"pre",11.6,4
54,"pre",3.6,4
55,"pre",6.6,4
56,"pre",7.8,4
57,"pre",19.8,4
58,"pre",7.5,4
59,"pre",4.1,4
60,"pre",0.8,4
61,"pre",1.7,4
62,"pre",0.8,4
63,"pre",0.6,4
64,"pre",0.5,4
65,"pre",6.3,4
1,"stim",4.3,4
2,"stim",0,4
3,"stim",0.1,4
4,"stim",1.4,4
5,"stim",0,4
6,"stim",0,4
7,"stim",0.7,4
8,"stim",19.8,4
9,"stim",0.3,4
10,"stim",0.6,4
11,"stim",0,4
12,"stim",1.4,4
13,"stim",5.3,4
14,"stim",3.4,4
15,"stim",0.2,4
16,"stim",0.1,4
17,"stim",0,4
18,"stim",0,4
19,"stim",0,4
20,"stim",0.1,4
21,"stim",0,4
22,"stim",0,4
23,"stim",17.3,4
24,"stim",0,4
25,"stim",0,4
26,"stim",0,4
27,"stim",0.2,4
28,"stim",0,4
29,"stim",0,4
30,"stim",0,4
31,"stim",0,4
32,"stim",0,4
33,"stim",0,4
34,"stim",0,4
35,"stim",0,4
36,"stim",0,4
37,"stim",0,4
38,"stim",9.8,4
