"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",4.4,1
2,"pre",1,1
3,"pre",3.5,1
4,"pre",1.9,1
5,"pre",0,1
6,"pre",3.3,1
7,"pre",2.1,1
8,"pre",0.3,1
9,"pre",2.7,1
10,"pre",0,1
11,"pre",4.9,1
12,"pre",2.6,1
13,"pre",0.6,1
14,"pre",0.2,1
15,"pre",0,1
16,"pre",2.7,1
17,"pre",0.2,1
18,"pre",0,1
19,"pre",0,1
20,"pre",0,1
21,"pre",4.1,1
22,"pre",6.1,1
23,"pre",0.9,1
24,"pre",0.2,1
25,"pre",0.2,1
26,"pre",0.1,1
27,"pre",15.4,1
28,"pre",0,1
29,"pre",0.7,1
30,"pre",17.6,1
31,"pre",2.7,1
32,"pre",15.2,1
33,"pre",3.9,1
34,"pre",6.6,1
35,"pre",7,1
36,"pre",0.4,1
37,"pre",0,1
38,"pre",1.3,1
39,"pre",4,1
40,"pre",9.4,1
41,"pre",2.4,1
42,"pre",7.7,1
43,"pre",6.9,1
44,"pre",2.5,1
45,"pre",4.4,1
46,"pre",0,1
47,"pre",0.6,1
48,"pre",0.2,1
49,"pre",5.8,1
50,"pre",1.1,1
51,"pre",4.7,1
52,"pre",0.3,1
53,"pre",1.4,1
54,"pre",1,1
55,"pre",2.3,1
1,"stim",5.5,1
2,"stim",1.4,1
3,"stim",0,1
4,"stim",0.4,1
5,"stim",0,1
6,"stim",3,1
7,"stim",2.1,1
8,"stim",0,1
9,"stim",3.4,1
10,"stim",0,1
11,"stim",4.1,1
12,"stim",2.8,1
13,"stim",0.4,1
14,"stim",0.2,1
15,"stim",0,1
16,"stim",2.5,1
17,"stim",0.4,1
18,"stim",0.1,1
19,"stim",0,1
20,"stim",0,1
21,"stim",3.5,1
22,"stim",2.2,1
23,"stim",1.3,1
24,"stim",0.4,1
25,"stim",0.3,1
26,"stim",0,1
27,"stim",16.6,1
28,"stim",0,1
29,"stim",0.9,1
30,"stim",18.1,1
31,"stim",1.3,1
32,"stim",4.9,1
33,"stim",0.4,1
34,"stim",6.4,1
35,"stim",6.8,1
36,"stim",0.1,1
37,"stim",0.2,1
38,"stim",0.8,1
39,"stim",3.9,1
40,"stim",8.3,1
41,"stim",1.3,1
42,"stim",7.9,1
43,"stim",8.4,1
44,"stim",1,1
45,"stim",3.9,1
46,"stim",0.1,1
47,"stim",0.7,1
48,"stim",0.1,1
49,"stim",7.4,1
50,"stim",0.4,1
51,"stim",4.3,1
52,"stim",0.2,1
53,"stim",1.3,1
54,"stim",0.4,1
55,"stim",1.9,1
1,"post",6.2,1
2,"post",1,1
3,"post",0.4,1
4,"post",2.8,1
5,"post",0,1
6,"post",3,1
7,"post",2.2,1
8,"post",0,1
9,"post",3.3,1
10,"post",0,1
11,"post",4.3,1
12,"post",3.3,1
13,"post",0.6,1
14,"post",0.1,1
15,"post",0,1
16,"post",3.2,1
17,"post",0,1
18,"post",0.4,1
19,"post",0.1,1
20,"post",0,1
21,"post",3.3,1
22,"post",0.8,1
23,"post",1.8,1
24,"post",0.1,1
25,"post",0.9,1
26,"post",0,1
27,"post",14,1
28,"post",0.2,1
29,"post",0.5,1
30,"post",17.1,1
31,"post",2.8,1
32,"post",17.1,1
33,"post",5.2,1
34,"post",6.9,1
35,"post",6.5,1
36,"post",0.2,1
37,"post",0.6,1
38,"post",0.2,1
39,"post",4.2,1
40,"post",13.4,1
41,"post",1.5,1
42,"post",8.2,1
43,"post",8.3,1
44,"post",4.3,1
45,"post",5.8,1
46,"post",0.1,1
47,"post",0.5,1
48,"post",1,1
49,"post",5.8,1
50,"post",0.8,1
51,"post",4.8,1
52,"post",0.5,1
53,"post",1.3,1
54,"post",1.8,1
55,"post",2.6,1
1,"pre",0.4,10
2,"pre",0.5,10
3,"pre",1,10
4,"pre",1.6,10
5,"pre",0,10
6,"pre",8.1,10
7,"pre",4,10
8,"pre",0.1,10
9,"pre",1.5,10
10,"pre",0,10
11,"pre",0.9,10
12,"pre",3.2,10
13,"pre",1.4,10
14,"pre",0.3,10
15,"pre",0.3,10
