"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",46.2950090350527,1
2,"pre",NA,1
3,"pre",15.7072382977134,1
4,"pre",23.9533769819472,1
5,"pre",19.8337135314941,1
6,"pre",26.5208438873291,1
7,"pre",34.5784435272217,1
8,"pre",65.0441192626953,1
9,"pre",21.8920589447021,1
10,"pre",39.1158902428367,1
1,"stim",NA,1
2,"stim",NA,1
3,"stim",9.17915105819702,1
4,"stim",NA,1
5,"stim",NA,1
6,"stim",NA,1
7,"stim",NA,1
8,"stim",NA,1
9,"stim",NA,1
10,"stim",NA,1
1,"post",NA,1
2,"post",NA,1
3,"post",9.32613468170166,1
4,"post",25.737681833903,1
5,"post",NA,1
6,"post",NA,1
7,"post",NA,1
8,"post",NA,1
9,"post",16.5915012359619,1
10,"post",47.9746848441459,1
1,"pre",45.5403986516989,2
2,"pre",16.7316576639811,2
3,"pre",23.8438340967352,2
4,"pre",33.8186186154683,2
5,"pre",59.5380149841309,2
6,"pre",37.9647651428872,2
7,"pre",28.4988399505615,2
1,"stim",NA,2
2,"stim",NA,2
3,"stim",NA,2
4,"stim",NA,2
5,"stim",NA,2
6,"stim",NA,2
7,"stim",NA,2
1,"post",41.1779804229736,2
2,"post",NA,2
3,"post",25.224396387736,2
4,"post",NA,2
5,"post",NA,2
6,"post",42.8367595672607,2
7,"post",NA,2
